title,University,Degree,Fees
Sustainable International Agriculture,University of Kassel,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Life Sciences,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Chemistry,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Sustainable Business Development,Frankfurt University of Applied Science,M.B.A. / Full-time / On Campus,"476,568,276 IRR / year"
"Ethics - Economics, Law and Politics",Ruhr University Bochum,M.A. / Full-time / On Campus,Free
Development Economics,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Laboratory Animal Science,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
"Sustainability Science - Ecosystems, Biodiversity And Society",Leuphana University Lüneburg,M.Sc. / Full-time / On Campus,Free
Wood Technology,Rosenheim Technical University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Social Protection,Bonn-Rhein-Sieg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Business Management and Finance - International Business Management Double Degree,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
Global Change Geography,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Environmental Sciences,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
Sustainable Business Development,Frankfurt University of Applied Science,M.B.A. / Full-time / On Campus,"476,568,276 IRR / year"
Strategic Marketing Management,International School of Management (ISM),M.A. / Full-time / On Campus,"620,736,166 IRR / year"
"Media, Technology and Society",Darmstadt University of Applied Sciences,M.A. / Full-time / On Campus,Free
International Political Economy,Philip University in Marburg,M.Sc. / Full-time / On Campus,"38,700,218 IRR / year"
"Sustainability Science - Ecosystems, Biodiversity And Society",Leuphana University Lüneburg,M.Sc. / Full-time / On Campus,Free
Wood Technology,Rosenheim Technical University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Social Protection,Bonn-Rhein-Sieg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Chemistry,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Digital Studies of Ancient Texts,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Forest Sciences,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Intellectual Property and Competition Law,University of Augsburg,LL.M. / Full-time / On Campus,"1,891,904,209 IRR / year"
Geological Sciences,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Geographies of Global Inequalities,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
East European Studies,Ludwig-Maximilians-University (LMU) Munich,M.A. / Full-time / On Campus,"488,542,353 IRR / year"
Epidemiology,Charité - Universitätsmedizin Berlin,"M.Sc. / Full-time, Part-time / On Campus",Free
"Climate, Earth, Water, Sustainability",University of Potsdam,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
European Literatures and Cultures,University of Freiburg,M.A. / Full-time / On Campus,"351,223,635 IRR / year"
Urban Management,TU Berlin,M.Sc. / Full-time / On Campus,"675,337,958 IRR / year"
Global Logistics and Supply Chain Management,Kühne Logistics University (KLU),M.Sc. / Full-time / On Campus,"747,182,422 IRR / year"
Applied Life Sciences,University of Applied Sciences Emden/leer,M.Eng. / Full-time / On Campus,"25,959,800 IRR / year"
Stragetic Business Management International Programme,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Gemstones and Jewellery,Trier University of Applied Sciences,Master / Full-time / On Campus,"60,349,349 IRR / year"
Marine Geosciences,University of Kiel,M.Sc. / Full-time / On Campus,Free
Law and Economics of the Arab Region,University of Hamburg,"LL.M. / Full-time, Part-time / On Campus","191,585,236 IRR / year"
Innovative Medicine,Uppsala University,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
International Technical and Vocational Education and Training,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,"191,585,236 IRR / year"
Molecular Life Sciences,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus",Free
Earth and Climate System Science,University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Biophysics,University of Würzburg,M.Sc. / Full-time / On Campus,Free
"Psychology Focusing on Organisation - Transformation Processes in Work, Society and Environment",International Psychoanalytic University Berlin (IPU Berlin),M.A. / Full-time / On Campus,"622,652,018 IRR / year"
Biomedical Systems Engineering,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Soft Matter and Materials,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Farm Management,Weihenstephan-Triesdorf University of Applied Sciences,M.Sc. / Full-time / On Campus,"14,560,478 IRR / year"
Business and Engineering,University of Applied Sciences Würzburg-Schweinfurt,Master / Full-time / On Campus,Free
Digital Transformation Management,XU Exponential University of Applied Sciences,M.A. / Full-time / On Campus,"957,926,182 IRR / year"
Archaeology,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Renewable Energy Management,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Environmental Geography,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Impact MBA in ESG Management,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Economics,Leipzig University,"M.Sc. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Photonics,Max Planck School of Photonics,Master / Full-time / On Campus,Free
International Management,Kühne Logistics University (KLU),M.Sc. / Full-time / On Campus,"747,182,422 IRR / year"
Economic Policy,University of Siegen,M.Sc. / Full-time / On Campus,Free
Data Science for Public Policy,Hertie School Berlin,M.Sc. / Full-time / On Campus,"898,055,796 IRR / year"
Linguistics,Heinrich Heine University Düsseldorf,M.A. / Full-time / On Campus,Free
Human Biology - Principles of Health and Disease,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Psychology: Learning Sciences,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
European Culture and Economy (ECUE),Ruhr University Bochum,M.A. / Full-time / On Campus,Free
Global Challenges for Sustainability,University of Barcelona,Master / Full-time / On Campus,"574,755,709 IRR / year"
Impact MSc in Innovation and Prototyping for Sustainable Solutions,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Infection Biology,University of Lübeck,M.Sc. / Full-time / On Campus,Free
International Relations - Global Governance and Social Theory,University of Bremen,M.A. / Full-time / On Campus,Free
Mathematics,Leibniz University Hannover,Master / Full-time / On Campus,"41,095,033 IRR / year"
Chemistry,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
Finance,Schmalkalden University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Knowledge and Communication,University of Münster,M.A. / Full-time / On Campus,Free
Biofabrication,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Quantitative Decision Making in Economics and Management,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Mechatronics,FH Aachen - University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Politics and Public Administration,University of Konstanz,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Modern Indian Studies,University of Göttingen,M.A. / Full-time / On Campus,Free
Forest and Ecosystem Sciences,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Information Technology,Frankfurt University of Applied Science,M.Eng. / Full-time / On Campus,"31,515,771 IRR / year"
Software Engineering,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Impact MSc in Ecosystem-Based Sustainability Solutions,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Advanced Quantum Physics,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Materials Science and Simulation,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
Data Science - Digital Health,SRH University Wilhelm Löhe,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
Materials Science and Engineering,University of Augsburg,M.Sc. / Full-time / On Campus,Free
Battery Science and Technology in Engineering,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Microbiology,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus",Free
Data Engineering and Analytics,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Sustainable Transition,Justus Liebig University Giessen,Master / Full-time / On Campus,Free
Data Science - Business Analytics,SRH University Wilhelm Löhe,M.Sc. / Full-time / On Campus,"45,118,323 IRR / module"
Materials Science and Engineering,University of Kiel,M.Sc. / Full-time / On Campus,Free
Food Science and Engineering,University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Nanoscience and Nanotechnology,University of Siegen,M.Sc. / Full-time / On Campus,Free
Law and Business,Bucerius Law School,LL.M. / Full-time / Blended,"1,197,407,727 IRR / year"
Geodesy and Geoinformatics,HafenCity University Hamburg (HCU),M.Sc. / Full-time / On Campus,Free
Biology - Variant one year,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Physics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Landscape Ecology,University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Marine Geosciences,University of Bremen,M.Sc. / Full-time / On Campus,Free
Public Policy and Social Change,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
"Environment, Climate Change and Health",University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Marine Microbiology,University of Bremen,M.Sc. / Full-time / On Campus,Free
Tourism Development Strategies (TDS),Hochschule Stralsund - University of Applied Sciences,M.A. / Full-time / On Campus,Free
"Ecology, Evolution and Conservation",University of Potsdam,M.Sc. / Full-time / On Campus,Free
"Translation, Communication, Language Technology",Heidelberg University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Global Change Ecology,University of Augsburg,M.Sc. / Full-time / On Campus,Free
Matter to Life,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Physics,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Flood Risk Management (FloodRiskMaster),IHE Delft Institute for Water Education,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
Spatial Planning,TU Dortmund University,"M.Sc. / Full-time, Part-time / On Campus",Free
Communication and Information Technology,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Engineering Geohazards,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Medical Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Systems Engineering and Engineering Management,South Westphalia University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
English Studies,Heidelberg University,"M.A. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
Sustainability Science - Governance And Law,Leuphana University Lüneburg,M.A. / Full-time / On Campus,Free
Applied Geoscience,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
New Mobility - Micromobility,PFH Private University of Applied Sciences,M.Sc. / Full-time / On Campus,"517,280,138 IRR / year"
Interior Architecture - Interior Design,Berlin International University of Applied Sciences,M.A. / Full-time / On Campus,"531,649,031 IRR / year"
Modern East Asian Studies,Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
Physics,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Food System Sciences,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
International Product and Service Management,Ansbach University of Applied Science,M.A. / Full-time / On Campus,Free
Nutrition and Biomedicine,Technical University of Munich,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
Astro and Particle Physics,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Geology,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Business,Landshut University of Applied Sciences,M.B.A. / Full-time / On Campus,Free
Digitalization and Innovation,Hof University of Applied Sciences,M.B.A. / Full-time / On Campus,"316,115,640 IRR / year"
Sports Science - Movement and Wellbeing,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Process Engineering (MPE),Offenburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
English and American Studies,Ruhr University Bochum,M.A. / Full-time / On Campus,Free
International Social Sciences,Friedensau Adventist University,M.A. / Full-time / On Campus,"283,641,942 IRR / year"
"Space Sciences and Technologies - Sensing, Processing, Communication",University of Bremen,M.Sc. / Full-time / On Campus,Free
Social Sciences (TransAtlantic Masters),Humboldt University Berlin,M.A. / Full-time / On Campus,Free
Impact MBA in New Work and Organizational Psychology,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
International Management,School of International Business and Entrepreneurship (SIBE),M.Sc. / Full-time / Blended,"16,763,708 IRR / module"
International Industrial Management,Esslingen University of Applied Sciences,M.B.A. / Full-time / On Campus,"167,637,082 IRR / year"
Molecular Medicine,Friedrich Schiller University Jena,M.Sc. / Full-time / On Campus,Free
Manufacturing Technology,TU Dortmund University,M.Sc. / Full-time / On Campus,Free
Erasmus Mundus - MaMaSELF,University of Rennes,Master / Full-time / On Campus,"287,377,855 IRR / year"
Impact MSc in Data Analytics for Sustainability,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
International Business Economics,Ilmenau University of Technology,M.Sc. / Full-time / On Campus,Free
Matter to Life (Direct Track Master Phase),Max Planck School Matter to Life,M.Sc. / Full-time / On Campus,Free
Data Analytics and Decision Science,RWTH Business School,M.Sc. / Full-time / On Campus,"718,444,636 IRR / year"
Chemical Engineering,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
Applied Photonics,Aalen University of Applied Sciences,M.Sc. / Part-time / On Campus,"143,688,927 IRR / year"
Business Management,Heilbronn University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Data Analytics,Macromedia University of Applied Sciences,M.B.A. / Part-time / On Campus,"655,221,508 IRR / year"
Gemstones and Jewellery,Trier University of Applied Sciences,Master / Full-time / On Campus,Free
Mechanical Engineering,University of Applied Sciences Düsseldorf,M.Sc. / Full-time / On Campus,Free
Smart Energy Systems,Ansbach University of Applied Science,M.Eng. / Full-time / On Campus,Free
Meteorology,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Biology - Component in the Master of Education,Heidelberg University,M.Ed. / Full-time / On Campus,"143,688,927 IRR / year"
Land Use Transformation,Osnabrück University of Applied Sciences,M.Sc. / Full-time / On Campus,"34,485,343 IRR / year"
Restorative and Aesthetic Dentistry,University of Duisburg-Essen,M.Sc. / Full-time / On Campus,"892,308,238 IRR / year"
Biology - Component in the Master of Education,Heidelberg University,M.Ed. / Full-time / On Campus,"143,688,927 IRR / year"
Remote Sensing and Geoinformatics,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Business with Regional Focus,University of Applied Sciences Würzburg-Schweinfurt,M.B.A. / Full-time / On Campus,"526,859,400 IRR / year"
Neural and Behavioural Sciences,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Sales Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Sustainable Mobility Management,TU Berlin,M.B.A. / Full-time / On Campus,"632,231,280 IRR / year"
Physics,University of Kassel,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Geosciences,University of Potsdam,M.Sc. / Full-time / On Campus,Free
MBA Big Data Management (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,"16,763,708 IRR / module"
Digital Leadership,School of International Business and Entrepreneurship (SIBE),M.Sc. / Full-time / On Campus,"285,462,002 IRR / year"
Business Management and Sustainability,University of Applied Sciences Ravensburg-Weingarten,M.B.A. / Part-time / On Campus,Free
Economics,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus","38,700,218 IRR / year"
Molecular Biotechnology,Philip University in Marburg,M.Sc. / Full-time / On Campus,Free
Resource Efficiency in Architecture and Planning,HafenCity University Hamburg (HCU),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Communication and Media Engineering (CME),Offenburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"14,704,167 IRR / module"
Impact MBA in Responsible Entrepreneurship and Technology,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Impact MBA in Innovation for Sustainable Growth,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online",Free
Impact MBA in Responsible Entrepreneurship and Technology,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Impact MBA in Innovation for Sustainable Growth,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Computational Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
International Marketing and Sales,Aalen University of Applied Sciences,Master / Full-time / On Campus,"143,688,927 IRR / year"
Technomathematics,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
European Studies,Otto von Guericke University Magdeburg,M.A. / Full-time / On Campus,Free
American Studies,Leipzig University,"M.A. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Impact MBA in Sustainable AI and Emerging Technologies,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Microbiology,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Electrical Engineering,University of Siegen,M.Sc. / Full-time / On Campus,Free
Sociology - Social Research,University of Cologne,M.Sc. / Full-time / On Campus,Free
Sustainable Water Management and Engineering,Hof University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
Molecular Biomedicine,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Biology,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
Technical Management,Technical University of Applied Sciences Wildau,M.Eng. / Full-time / On Campus,Free
Global Logistics,Frankfurt University of Applied Science,M.Sc. / Full-time / On Campus,"31,515,771 IRR / year"
Hydrogen Technology,Rosenheim Technical University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Design and Development in Automotive and Mechanical Engineering,Esslingen University of Applied Sciences,M.Eng. / Full-time / On Campus,"143,688,927 IRR / year"
European Management,Technical University of Applied Sciences Wildau,"M.A. / Full-time, Part-time / On Campus",Free
Toxicology,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Advanced Architecture,Frankfurt University of Applied Science,M.A. / Full-time / On Campus,"31,515,771 IRR / year"
German Turkish Masters Program in Social Sciences,Humboldt University Berlin,M.Sc. / Full-time / On Campus,"239,481,545 IRR / year"
Business Administration,FOM University of Applied Sciences,M.B.A. / Part-time / On Campus,"440,646,044 IRR / year"
European Master in Materials Science and Engineering,Saarland University,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
"Culture, Ecology, Change",University of Rostock,M.A. / Full-time / On Campus,"393,707,661 IRR / year"
International Technology Transfer Management,BBW University of Applied Sciences,M.Sc. / Full-time / On Campus,"16,572,123 IRR / year"
Maritime Operations,University of Applied Sciences Emden/leer,M.Sc. / Full-time / On Campus,"1,144,721,787 IRR / year"
International Real Estate Management,Biberach University of Applied Science,M.B.A. / Full-time / On Campus,Free
Transfers-fluids-materials In Aeronautical And Space Applications,The Brandenburg University of Technology Cottbus - Senftenberg,M.Sc. / Full-time / On Campus,Free
Epidemiology,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
Toxicology,University of Potsdam,M.Sc. / Full-time / On Campus,"229,902,284 IRR / year"
Embedded Systems,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,"1,069,907,753 IRR / year"
Public Health,Hamburg University of Applied Sciences,"Master / Full-time, Part-time / On Campus",Free
Master of Business Administration in Global Business (part-time programme),Heilbronn University of Applied Sciences,M.B.A. / Part-time / On Campus,Free
International Management and Information Systems,South Westphalia University of Applied Sciences,M.A. / Full-time / On Campus,"9,196,091 IRR / year"
Ecotoxicology (Environmental Pollution Management),University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Sustainable Land Management and Conservation,Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,"617,862,387 IRR / year"
Legal Management,Konstanz University of Applied Sciences,LL.M. / Full-time / On Campus,"617,862,387 IRR / year"
Medical Sciences - Cardiovascular Research,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Master of Business Administration,Darmstadt University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online, Blended","1,187,828,466 IRR / year"
Impact MBA in Climate Solutions and CleanTech Innovation,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Legal Management,Konstanz University of Applied Sciences,LL.M. / Full-time / On Campus,"143,688,927 IRR / year"
Investment Banking,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Health Service Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
"Impact MBA in Green Energy, Tech and AI",Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Industrial Pharmacy,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Interdisciplinary Latin American Studies,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Psychology and Sustainability,Leuphana University Lüneburg,M.Sc. / Full-time / On Campus,Free
Industrial Engineering,PFH Private University of Applied Sciences,M.Sc. / Full-time / On Campus,"517,280,138 IRR / year"
Management Consulting,University of Applied Sciences Emden/leer,M.A. / Full-time / On Campus,"25,959,800 IRR / year"
Integrated Climate System Sciences,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Sustainable Management - Water and Energy,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Electrical Engineering and Information Technology,Darmstadt University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Chemistry,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Transformation Studies,The Brandenburg University of Technology Cottbus - Senftenberg,"M.A. / Full-time, Part-time / On Campus","32,665,283 IRR / year"
Urban Agglomerations,Frankfurt University of Applied Science,M.Sc. / Full-time / On Campus,"287,377,855 IRR / year"
CSR and NGO Management,Bonn-Rhein-Sieg University of Applied Sciences,"M.B.A. / Full-time, Part-time / On Campus","467,467,977 IRR / year"
International Business,"RFH – University of Applied Science, Cologne",M.B.A. / Part-time / Blended,"27,731,963 IRR / module"
Financial Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Double Master's Programme in European Studies,University of Cologne,M.A. / Full-time / On Campus,Free
Religious Studies,Ruhr University Bochum,Master / Full-time / On Campus,Free
Serial Storytelling,TH Köln (University of Applied Sciences),Master / Full-time / On Campus,"32,090,527 IRR / year"
Financial Management,Coburg University of Applied Sciences and Arts,M.B.A. / Full-time / On Campus,"330,484,533 IRR / year"
Digital Transformations,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Advanced Materials and Manufacturing (Research Master),Aalen University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Business and Management,Osnabrück University of Applied Sciences,M.A. / Full-time / On Campus,"33,527,416 IRR / year"
Digital Games,TH Köln (University of Applied Sciences),M.A. / Full-time / On Campus,"32,090,527 IRR / year"
Geomatics Engineering (GeoEngine),University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Computational and Applied Mathematics,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Global Change Ecology,University of Bayreuth,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Biotechnology,Offenburg University of Applied Sciences,Master / Full-time / On Campus,"25,959,800 IRR / year"
Engineering Physics,University of Applied Sciences Emden/leer,M.Sc. / Full-time / On Campus,"14,704,167 IRR / module"
Impact MBA in Digital Transformation and Innovation Management,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online",Free
Chemistry of Materials,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus","574,755,709 IRR / year"
International Health,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / Blended,"862,133,564 IRR / year"
Global Master of Business Administration,Gisma University of Applied Sciences,"M.B.A. / Full-time, Part-time / On Campus","617,862,387 IRR / year"
Management Consulting,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"263,429,700 IRR / year"
Technology and Management,CODE University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","55,080,755 IRR / module"
Sustainable Systems Engineering,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Financial and Insurance Mathematics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,"478,963,091 IRR / year"
International Project Management,University of Applied Sciences Stuttgart,"M.Eng. / Full-time, Part-time / On Campus","18,104,805 IRR / year"
Business Informatics Online,University of Applied Sciences Emden/leer,M.Sc. / Part-time / Online,Free
International Social Work with Refugees and Migrants,University of Applied Sciences Würzburg-Schweinfurt,M.A. / Full-time / On Campus,"526,859,400 IRR / year"
Transformation,University of Applied Sciences Würzburg-Schweinfurt,M.B.A. / Full-time / On Campus,Free
Double Master's Programme in Health Economics and Management,University of Cologne,M.Sc. / Full-time / On Campus,"95,792,618 IRR / year"
International Vocational Education,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Molecular and Developmental Stem Cell Biology,Ruhr University Bochum,Master / Full-time / On Campus,Free
Astrophysics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Geoscience,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Infection Biology and Immunology,University of Greifswald,M.Sc. / Full-time / On Campus,"617,862,387 IRR / year"
International Business,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"316,115,640 IRR / year"
Software Engineering for Industrial Applications,Hof University of Applied Sciences,M.Eng. / Full-time / On Campus,"337,668,979 IRR / year"
Business Administration,University of Applied Sciences Mittelhessen,M.B.A. / Part-time / On Campus,"14,560,478 IRR / year"
Business Management and Entrepreneurship Renewable Energy,Weihenstephan-Triesdorf University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Molecular Biosciences,Goethe University Frankfurt,M.Sc. / Full-time / On Campus,"14,560,478 IRR / year"
Food Quality,Weihenstephan-Triesdorf University of Applied Sciences,M.Eng. / Full-time / On Campus,"469,048,555 IRR / year"
Molecular Biotechnology,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Business Management,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
Groundwater and Global Change,IHE Delft Institute for Water Education,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
Biomedical Engineering,Furtwangen University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Logistics and Transportation Management,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Agricultural Economics,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Nanoscience,University of Konstanz,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
"Cognitive, Digital and Empirical English Studies",RWTH Aachen University,M.A. / Full-time / On Campus,Free
Impact MBA in AI and Sustainable Innovation,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
